,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村
あきる野市,2,4,4,9,2,4,4,4,5,3,7,21,3,28,41,7,7,0,18,39,4,6,7,1528,567,49,44,1672,198,1150,38,68,60,154,232,117,134,131,1168,8,174,9,25,231,49,56,810,17666,60,304,1127,191,66,0,0,0,0,0,0,0,0,0
西東京市,15,18,29,184,63,27,27,74,67,41,90,243,56,408,666,172,100,41,241,2770,100,71,86,377,427,941,513,164,366,191,178,90,507,2023,197,1546,299,107,101,28,597,802,2637,238,68,44,88,115,29578,56,14,4,2,0,0,0,0,0,0,0,0,0
瑞穂町,0,0,1,5,1,1,1,4,1,3,6,12,2,14,26,7,3,0,9,45,4,1,4,495,516,23,48,2685,65,684,16,36,23,205,102,143,76,55,900,3,390,29,66,1227,22,16,1554,667,109,7829,126,15,50,0,0,0,0,0,0,0,0,0
日の出町,0,0,1,3,0,0,1,1,1,1,0,9,1,1,7,0,1,0,3,8,2,3,0,350,99,4,13,652,18,198,8,7,9,24,42,22,16,14,319,2,27,3,6,45,18,4,222,1886,10,61,3057,71,24,0,0,0,0,0,0,0,0,0
檜原村,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,22,5,0,0,36,3,27,0,0,0,1,0,0,0,1,11,0,3,0,0,5,0,0,9,176,0,1,23,565,4,0,0,0,0,0,0,0,0,0
奥多摩町,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,13,21,0,0,597,4,28,0,0,2,1,8,3,2,2,24,0,5,0,1,7,1,1,56,44,1,5,20,1,1420,0,0,0,0,0,0,0,0,0
大島町,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4263,0,1,1,0,0,0,0,0
利島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,2,0,0,0,0,0,0
新島村,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,0,0,0,0
神津島村,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0
三宅村,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,0,0,0,0
御蔵島村,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0
八丈町,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3962,0,0
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142,0
小笠原村,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
